nome_liga_padronizado;pais_liga;genero_liga;nome_liga;nome_clube
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;SV Werder Bremen
Bundesliga;Alemanha;Masculino;Bundesliga;SV Werder Bremen
3 Liga;Alemanha;Masculino;3. Liga;SV Waldhof
3 Liga;Alemanha;Masculino;3. Liga;SV Sandhausen
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;SV Elversberg
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;SV Darmstadt 98
K League;Coreia do Sul;Masculino;K League 1;Suwon FC
K League;Coreia do Sul;Masculino;K League 1;Suwon Bluewings
K League;Coreia do Sul;Masculino;K League 1;Suwon
EFL League Two;Inglaterra;Masculino;League Two;Sutton United
EFL Championship;Inglaterra;Masculino;EFL Championship;Sunderland
EFL Championship;Inglaterra;Masculino;Championship;Sunderland
Serie B;Itália;Masculino;Serie BKT;Südtirol
Serie B;Itália;Masculino;Serie B;Südtirol
Pro League;Belgica;Masculino;1A Pro League;STVV
Bundesliga;Alemanha;Masculino;Bundesliga;Sturm Graz
Eliteserien;Noruega;Masculino;Eliteserien;Strømsgodset IF
Eliteserien;Noruega;Masculino;Eliteserien;Strømsgodset
Ligue 1;França;Masculino;Ligue 1;Strasbourg
Ligue 1;França;Masculino;Ligue 1 McDonald's;Strasbourg
D1 Arkema;França;Feminino;Arkema PL;Strasbourg
EFL Championship;Inglaterra;Masculino;Championship;Stoke City
EFL Championship;Inglaterra;Masculino;EFL Championship;Stoke City
EFL League Two;Inglaterra;Masculino;League Two;Stockport County
EFL League One;Inglaterra;Masculino;EFL League One;Stockport
EFL League One;Inglaterra;Masculino;League One;Stevenage
EFL League One;Inglaterra;Masculino;EFL League One;Stevenage
Pro League;Belgica;Masculino;1A Pro League;Standard Liège
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Stal Mielec
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Stal Mielec
Ligue 1;França;Masculino;Ligue 1 McDonald's;Stade Rennais FC
Ligue 1;França;Masculino;Ligue 1;Stade de Reims
D1 Arkema;França;Feminino;Arkema PL;Stade de Reims
Ligue 1;França;Masculino;Ligue 1 McDonald's;Stade de Reims
Ligue 1;França;Masculino;Ligue 1;Stade Brestois 29
Ligue 1;França;Masculino;Ligue 1 McDonald's;Stade Brestois 29
Eliteserien;Noruega;Masculino;Eliteserien;Stabæk
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;St. Pauli
SSE Airtricity League Premier Division;Irlanda;Masculino;SSE Airtricity PD;St. Pats
Scottish Premiership;Escocia;Masculino;Premiership;St. Mirren
Scottish Premiership;Escocia;Masculino;Scottish Prem;St. Mirren
MLS;Estados Unidos;Masculino;MLS;St. Louis CITY SC
Scottish Premiership;Escocia;Masculino;Scottish Prem;St. Johnstone
Scottish Premiership;Escocia;Masculino;Premiership;St. Johnstone
SSE Airtricity League Premier Division;Irlanda;Masculino;Premier Division;St Patrick's
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;SSV Ulm 1846
Serie A;Itália;Masculino;Serie A Enilive;SSC Napoli
Liga I;Romenia;Masculino;Liga I;SSC Farul
Serie B;Itália;Masculino;Serie BKT;SS Juve Stabia
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;SpVgg Greuther Fürth
Premier League;Inglaterra;Masculino;Premier League;Spurs
Superliga Feminina;Inglaterra;Feminino;Barclays WSL;Spurs
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Sportivo Trinidense
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Sportivo Luqueño
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Sportivo Luqueño
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Sportivo Ameliano
MLS;Estados Unidos;Masculino;MLS;Sporting KC
MLS;Estados Unidos;Masculino;Major League Soccer;Sporting Kansas City
La Liga 2;Espanha;Masculino;La Liga 2;Sporting Gijón
Liga Portugal;Portugal;Masculino;Liga Portugal;Sporting CP
Liga Portugal;Portugal;Masculino;Primeira Liga;Sporting CP
Liga Portugal;Portugal;Masculino;Primeira Liga;Sporting Braga
Liga do Chile;Chile;Masculino;Primera Division;Sport Huancayo
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Sport Huancayo
Serie B;Itália;Masculino;Serie BKT;Spezia
Serie B;Itália;Masculino;Serie B;Spezia
Eredivisie;Holanda;Masculino;Eredivisie;Sparta Rotterdam
Liga Tcheca;Republica Tcheca;Masculino;First League;Sparta Praha
Liga Tcheca;Republica Tcheca;Masculino;Česká Liga;Sparta Praha
Pro League;Belgica;Masculino;1A Pro League;Sp. Charleroi
Premier League;Inglaterra;Masculino;Premier League;Southampton
EFL Championship;Inglaterra;Masculino;Championship;Southampton
MLS;Estados Unidos;Masculino;MLS;Sounders FC
Superliga;Dinamarca;Masculino;3F Superliga;Sønderjyske
Ligue 2;França;Masculino;Ligue 2 BKT;SM Caen
SSE Airtricity League Premier Division;Irlanda;Masculino;SSE Airtricity PD;Sligo Rovers
SSE Airtricity League Premier Division;Irlanda;Masculino;Premier Division;Sligo Rovers
Liga Tcheca;Republica Tcheca;Masculino;First League;Slavia Praha
Liga Tcheca;Republica Tcheca;Masculino;Ceska Liga Žen;Slavia Praha
Liga Tcheca;Republica Tcheca;Masculino;Česká Liga;Slavia Praha
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Śląsk Wrocław
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Śląsk Wrocław
Liga Portugal;Portugal;Masculino;Liga Portugal;SL Benfica
Liga Portugal Feminina;Portugal;Feminino;Liga Portugal Feminino;SL Benfica
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;SK Sturm Graz
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;SK Rapid
Eliteserien;Noruega;Masculino;Eliteserien;SK Brann
MLS;Estados Unidos;Masculino;MLS;SJ Earthquakes
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Sivasspor
Super Lig;Turquia;Masculino;Süper Lig;Sivasspor
Allsvenskan;Suecia;Masculino;Allsvenskan;Sirius
Superliga;Dinamarca;Masculino;3F Superliga;Silkeborg IF
Superliga;Dinamarca;Masculino;Superliga;Silkeborg
EFL League One;Inglaterra;Masculino;League One;Shrewsbury Town
EFL League One;Inglaterra;Masculino;EFL League One;Shrewsbury
SSE Airtricity League Premier Division;Irlanda;Masculino;Premier Division;Shelbourne
SSE Airtricity League Premier Division;Irlanda;Masculino;SSE Airtricity PD;Shelbourne
EFL Championship;Inglaterra;Masculino;Championship;Sheffield Wednesday
EFL Championship;Inglaterra;Masculino;EFL Championship;Sheffield Wed
EFL Championship;Inglaterra;Masculino;EFL Championship;Sheffield Utd
Premier League;Inglaterra;Masculino;Premier League;Sheffield United
Chinese Super League;China;Masculino;CSL;Shanghai Shenhua
Chinese Super League;China;Masculino;CSL;Shanghai Port FC
Chinese Super League;China;Masculino;CSL;Shandong Taishan
SSE Airtricity League Premier Division;Irlanda;Masculino;SSE Airtricity PD;Shamrock Rovers
SSE Airtricity League Premier Division;Irlanda;Masculino;Premier Division;Shamrock Rovers
Liga da Ucrania;Ucrania;Masculino;Ukrayina Liha;Shakhtar Donetsk
Premier League;Inglaterra;Masculino;Premier League;Shakhtar Donetsk
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;SGS Essen
Liga F;Espanha;Feminino;Liga F;Sevilla FC
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Sevilla FC
La Liga;Espanha;Masculino;La Liga;Sevilla
Superliga;Suiça;Masculino;CSSL;Servette FC
Liga I;Romenia;Masculino;SUPERLIGA;Sepsi OSK
Liga I;Romenia;Masculino;Liga I;Sepsi
K League;Coreia do Sul;Masculino;K League 1;Seoul
MLS;Estados Unidos;Masculino;Major League Soccer;Seattle Sounders
NWSL;Estados Unidos;Feminino;NWSL;Seattle Reign
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;SD Huesca
Liga F;Espanha;Feminino;Liga F;SD Eibar
La Liga 2;Espanha;Masculino;La Liga 2;SD Eibar
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;SD Eibar
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;SCR Altach
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Schalke 04
3 Liga;Alemanha;Masculino;3. Liga;SC Verl
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;SC Paderborn 07
Liga I;Romenia;Masculino;SUPERLIGA;SC Oțelul Galați
Eredivisie;Holanda;Masculino;Eredivisie;SC Heerenveen
Eredivisie;Holanda;Masculino;Eredivisie;sc Heerenveen
Bundesliga;Alemanha;Masculino;Bundesliga;SC Freiburg
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;SC Freiburg
Liga Portugal;Portugal;Masculino;Liga Portugal;SC Braga
Ligue 2;França;Masculino;Ligue 2 BKT;SC Bastia
Serie A;Itália;Masculino;Serie A;Sassuolo
Serie B;Itália;Masculino;Serie BKT;Sassuolo
Eliteserien;Noruega;Masculino;Eliteserien;Sarpsborg 08
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Sarmiento
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Sarmiento
Brasileirao;Brasil;Masculino;Série A;São Paulo
Liga Portugal;Portugal;Masculino;Liga Portugal;Santa Clara
3 Liga;Alemanha;Masculino;3. Liga;Sandhausen
Eliteserien;Noruega;Masculino;Eliteserien;Sandefjord
Libertadores;America do Sul;Masculino;Libertadores;San Lorenzo
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;San Lorenzo
MLS;Estados Unidos;Masculino;Major League Soccer;San Jose Earthquakes
NWSL;Estados Unidos;Feminino;NWSL;San Diego Wave
Super Lig;Turquia;Masculino;Trendyol Süper Lig;Samsunspor
Super Lig;Turquia;Masculino;Süper Lig;Samsunspor
Serie B;Itália;Masculino;Serie B;Sampdoria
Serie B;Itália;Masculino;Serie BKT;Sampdoria
Bundesliga;Alemanha;Masculino;Bundesliga;Salzburg
EFL League Two;Inglaterra;Masculino;League Two;Salford City
EFL League Two;Inglaterra;Masculino;EFL League Two;Salford City
Serie B;Itália;Masculino;Serie BKT;Salernitana
Serie A;Itália;Masculino;Serie A;Salernitana
Ligue 2;França;Masculino;Ligue 2;Saint-Étienne
MLS;Estados Unidos;Masculino;Major League Soccer;Saint Louis City
3 Liga;Alemanha;Masculino;3. Liga;Saarbrücken
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;S. Trinidense
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;S. Ameliano
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Ruch Chorzów
Pro League;Belgica;Masculino;1A Pro League;RSC Anderlecht
Pro League;Belgica;Masculino;1A Pro League;Royal Antwerp FC
3 Liga;Alemanha;Masculino;3. Liga;Rot-Weiss Essen
EFL League One;Inglaterra;Masculino;EFL League One;Rotherham Utd
EFL Championship;Inglaterra;Masculino;Championship;Rotherham United
Scottish Premiership;Escocia;Masculino;Scottish Prem;Ross County
Scottish Premiership;Escocia;Masculino;Premiership;Ross County
Eliteserien;Noruega;Masculino;Eliteserien;Rosenborg BK
Eliteserien;Noruega;Masculino;Eliteserien;Rosenborg
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Rosario Central
Libertadores;America do Sul;Masculino;Libertadores;Rosario Central
Chinese Super League;China;Masculino;CSL;Rongcheng FC
Serie A;Itália;Masculino;Serie A;Roma
Série A Feminina;Itália;Feminino;Calcio A Femminile;Roma
Ligue 2;França;Masculino;Ligue 2 BKT;Rodez AF
Ligue 2;França;Masculino;Ligue 2;Rodez
Eredivisie;Holanda;Masculino;Eredivisie;RKC Waalwijk
Super Lig;Turquia;Masculino;Süper Lig;Rizespor
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;River Plate
Libertadores;America do Sul;Masculino;Libertadores;River Plate
Liga Portugal;Portugal;Masculino;Liga Portugal;Rio Ave FC
Liga Portugal;Portugal;Masculino;Primeira Liga;Rio Ave
Bundesliga;Alemanha;Masculino;Bundesliga;Rheindorf Altach
Ligue 1;França;Masculino;Ligue 1;Rennes
Serie B;Itália;Masculino;Serie B;Reggiana
Serie B;Itália;Masculino;Serie BKT;Reggiana
Ligue 2;França;Masculino;Ligue 2 BKT;Red Star FC
MLS;Estados Unidos;Masculino;MLS;Red Bulls
La Liga 2;Espanha;Masculino;La Liga 2;Real Zaragoza
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;Real Zaragoza
La Liga 2;Espanha;Masculino;La Liga 2;Real Valladolid
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Real Tomayapo
Liga da Bolivia;Bolivia;Masculino;División de Fútbol Profesional;Real Tomayapo
La Liga;Espanha;Masculino;La Liga;Real Sociedad
Liga F;Espanha;Feminino;Liga F;Real Sociedad
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Real Sociedad
MLS;Estados Unidos;Masculino;Major League Soccer;Real Salt Lake
MLS;Estados Unidos;Masculino;MLS;Real Salt Lake
La Liga 2;Espanha;Masculino;La Liga 2;Real Oviedo
Liga F;Espanha;Feminino;Liga F;Real Madrid CF
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Real Madrid
La Liga;Espanha;Masculino;La Liga;Real Madrid
La Liga;Espanha;Masculino;La Liga;Real Betis
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Real Betis
Liga F;Espanha;Feminino;Liga F;Real Betis
EFL League One;Inglaterra;Masculino;EFL League One;Reading
EFL League One;Inglaterra;Masculino;League One;Reading
La Liga;Espanha;Masculino;LALIGA EA SPORTS;RCD Mallorca
Liga F;Espanha;Feminino;Liga F;RCD Espanyol
La Liga;Espanha;Masculino;LALIGA EA SPORTS;RCD Espanyol
Ligue 1;França;Masculino;Ligue 1 McDonald's;RC Lens
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;RC Deportivo
Liga F;Espanha;Feminino;Liga F;RC Deportivo
La Liga;Espanha;Masculino;LALIGA EA SPORTS;RC Celta
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;RB Salzburg
Bundesliga;Alemanha;Masculino;Bundesliga;RB Leipzig
Frauen-Bundesliga;Alemanha;Feminino;GPFBL;RB Leipzig
Liga do Chile;Chile;Masculino;Primera Division;Rayo Zuliano
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Rayo Zuliano
La Liga;Espanha;Masculino;LALIGA EA SPORTS;Rayo Vallecano
La Liga;Espanha;Masculino;La Liga;Rayo Vallecano
Bundesliga;Alemanha;Masculino;Bundesliga;Rapid Wien
Liga I;Romenia;Masculino;Liga I;Rapid Bucuresti
Scottish Premiership;Escocia;Masculino;Premiership;Rangers
Scottish Premiership;Escocia;Masculino;Scottish Prem;Rangers
Superliga;Dinamarca;Masculino;3F Superliga;Randers FC
Superliga;Dinamarca;Masculino;Superliga;Randers
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Raków Częstochowa
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Raków
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Radomiak Radom
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Radomiak Radom
La Liga 2;Espanha;Masculino;La Liga 2;Racing Santander
La Liga 2;Espanha;Masculino;La Liga 2;Racing Ferrol
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;Racing de Ferrol
Liga Profesional de Fútbol;Argentina;Masculino;Liga Profesional de Fútbol;Racing Club
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Racing Club
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Racing
NWSL;Estados Unidos;Feminino;NWSL;Rac. Louisville
La Liga;Espanha;Masculino;LALIGA EA SPORTS;R. Valladolid CF
Pro League;Belgica;Masculino;1A Pro League;R. Union St.-G.
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;R. Sporting
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;R. Racing Club
La Liga 2;Espanha;Masculino;LALIGA HYPERMOTION;R. Oviedo
Ligue 2;França;Masculino;Ligue 2;Quevilly Rouen
EFL Championship;Inglaterra;Masculino;Championship;Queens Park Rangers
EFL Championship;Inglaterra;Masculino;EFL Championship;QPR
Chinese Super League;China;Masculino;CSL;Qingdao W. Coast
Chinese Super League;China;Masculino;CSL;Qingdao Hainiu
Liga do Azerbaijao;Azerbaijao;Masculino;Liga Azerbaijan;Qarabağ FK
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Puszcza Niepołomice
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Puszcza
Hero Indian Super Legue;India;Masculino;ISL;Punjab FC
Eredivisie;Holanda;Masculino;Eredivisie;PSV
Bundesliga 2;Alemanha;Masculino;Bundesliga 2;Preußen Münster
3 Liga;Alemanha;Masculino;3. Liga;Preußen Münster
